AIPPID,Title,AltTitle,Type,Media Identifier,Medium,Location,Artist(s),Date,Dimensions,Marks,Subject,Owner,Condition,References,HistoricalSubject,PublicSpace,Exterior/Interior,RecordCreationDate,Remarks,Latitude,Longitude,In Progress,Deaccessioned
137,Gold Star Monument to World War I Veterans,,Monument,Bronze,Bronze on a granite base,Centennial Park,"Zolnay, George Julian",1922,Sculpture:approx 6ft x 66in x 60in; Base:approx 6ft2in x 9ft1in x 9ft1/4in,"G.J. Zolnay 1922 (On south, front of base:) I GAVE MY BEST/TO MAKE A BETTER WORLD/1917-1918 (On north, rear of base:) ERECTED/BY THE CITIZENS OF/DAVIDSON COUNTY TENNESSEE/1923/NASHVILLE KIWANIS SPONSOR (East and west side of base are names of those from Davidson County who died in World War I)  signed","A sculpture of two large bronze figures. A female figure wears a cape and kneels over a dead soldier, partially supporting him. The cape is very large and forms a shelter around both figures.  Her proper right hand is under the soldier's proper right shoulder.  Her proper left hand touches his proper left hand. She looks up and straight ahead. She wears a sleeveless dress. The soldier lies on the plinth with his head slumped forward and both legs bent. He wears a full uniform with ammunition pouches and a satchel. A rifle lays by his side in his proper right hand. The sculpture rests on a simple granite base with a  stepped bottom.
History -- United States -- World War I
Occupation -- Military -- Soldier
Dress -- Uniform -- Military Uniform
Figure group
Object -- Weapon -- Gun","Metro Gov. of Nashville & Davidson Co, Parks & Rec","Surveyed 1992 April. Treatment needed. Evidence of guano, black crusts, pitting, and metallic staining on sculpture.","Save Outdoor Sculpture, Tennessee survey, 1992.
Johnson, Leland R., ""The Parks of Nashville,"" pg. 264-267.",TRUE,TRUE,TRUE,10/8/97,"Zolnay, George Julian, 1863-1949, sculptor
IAS files contain a related article from Johnson, Leland R., ""The Parks of Nashville,"" pg. 264-267, which lists the names inscribed on the monument. This memorial is to the members of the armed forces from Davidson County who lost their lives during World War I and was funded by the Nashville Kiwanis Club. Monument restored and refurbished in 1967.",,,FALSE,FALSE
138,Ariel,,Mobile,Bronze,"Sculpture: bronze with brown patina; 
Base: concrete covered with aggregate pebbles.",Centennial Park,"Emery, Lin",1979,Sculpture: approx. 50x90x42 in; Base: approx. 36x19x32 in.,"(On bronze 6""x8"" plaque on base:) ARIEL/BY/LIN EMERY/1979 unsigned","A five piece mobile of crescent-shaped forms. Each of the forms is approximately 2-3 feet long and is connected to and pivots around a central support form. The mobile rests on a bronze plinth, h. 2"", which is slightly smaller than the cement base beneath.
Abstract","Metro Gov. of Nashville & Davidson Co, Parks & Rec",Surveyed 1992 July. Well maintained. Evidence of metallic staining on sculpture.,"Save Outdoor Sculpture, Tennessee survey, 1992.",FALSE,TRUE,TRUE,10/8/97,"Emery, Lin, 1932-    , sculptor. 
Donated by Hospital Corporation of America.
Located Centennial Park Art Center, south courtyard.",36.147641,-86.813114,FALSE,FALSE
140,Headstones,,Gravestone,Stone,,City Cemetery,Unknown,,,,,,,,FALSE,TRUE,TRUE,10/8/97,,36.147555,-86.769463,FALSE,FALSE
141,The Night Watchman (Owl),,Sculpture,Limestone,Owl: limestone; Base: limestone.,Cheekwood Botanical Garden and Museum of Art,"Ralston, William",1983,Owl: approx. 52x14x11-1/2in; Base: approx. 5-1/2x24x24in.,unsigned,"An owl, not highly detailed
Animal -- Bird -- Owl",Cheekwood Botanical Garden and Museum of Art,Surveyed 1993 August. Well maintained. Evidence of guano and organic growth on owl.,"Savee Outdoor Sculpture, Tennessee survey, 1993.",TRUE,FALSE,TRUE,10/8/97,"Nearby marker reads: THE NIGHTWATCHMAN/WILLIAM RALSTON, SCULPTOR/PRESENTED/BY/FRIENDS OF CHEEKWOOD/ON THEIR TWENTY-FIFTH ANNIVERSARY/1985",,,FALSE,FALSE
142,Margaret Branscomb,,Sculpture,Bronze,Bronze on an Indiana limestone base.,Vanderbilt University,"LeQuire, Alan",1985,Sculpture: 2x2x1-1/2ft; Base 2x2x2ft,signed,"A full length portrait of Margaret Branscomb seated on a rock. She holds an open book in her hand as if reading. She wears a loose knee length dress with elbow length sleeves. The figure is positioned on an irregularly shaped piece of bronze which rests on a limestone boulder.
Portrait female -- Branscomb, Margaret -- Full length
Recreation -- Leisure -- Reading
Object -- Written Matter - Book",Vanderbilt University,Surveyed 1992 May. Well maintained. Sculpture is waxed. Guano on sculpture. Water collects in lap and around collar of figure.,"Save Outdoor Sculpture, Tennessee survey, 1992.",TRUE,FALSE,TRUE,10/8/97,"LeQuire, Alan, sculptor
Ward, Jack, founder
Inscription on plaque about four feet to the right of sculpture, on ground reads: Margaret Branscomb Memorial/given by Anne & David Wilson/to honor the contribution of women to Vanderbilt University/1985/Alan LeQuire.",36.147586,-86.802023,FALSE,FALSE
143,Come Play,,Sculpture,Bronze,Bronze on concrete base,Vanderbilt University - Peabody College,"Haven, Katherine ""Kate""",,Base: approx. 2x153-1/2x96in    See remarks for sculpture dimensions,,"Five abstracted standing figures. Four of the figures stand together in a semi-circle. The fifth figure stands alone, waving to the group. The figures are attached to a concrete pad which is flush with the ground.
Figure group
Recreation -- Sport & Play
Abstract",Vanderbilt University,Surveyed 1992 October. Well maintained. Sculpture is coated.,"Save Outdoor Sculpture, Tennessee survey, 1992.",FALSE,FALSE,TRUE,10/8/97,Group of four figures: 63x88in; Single figure: 55x23in,36.141556,-86.797531,FALSE,FALSE
144,Cornelius Vanderbilt,Commodore Cornelius Vanderbilt,Sculpture,Metal,Metal statue on a stone base,Vanderbilt University,"Moretti, Giuseppe",1897,Base: approx. H. 95 in. W. 83 in.,"(Base of statue:) GORHAM MFG. Co. Founders (Front of pedestal:) CORNELIUS VANDERBILT/BORN.MAY 27.1794./FOUNDED VANDERBILT UNIVERSITY MCH.17.1873./DIED JAN.4.1877(One side of pedestal:) PRESENTED TO VANDERBILT UNIVERSITY MAY 27, 1897./BY CITIZENS OF NASHVILLE.IN HONOR OF THE GENEROUS/FOUNDER WHOSE GREAT PATRIOTISM HAD ITS HIGHEST/EXPRESSION IN THIS INSTITUTION OF LEARNING AND WHOSE/NAME AND MEMORY WILL BE FOREVER CHERISHED BY/THE PEOPLES OF THE SOUTH. (Another side of the pedestal:) ""MR VANDERBILT HAS ACHIEVED A FAME AS ENDURING AS/THE BUILDERS OF THE PYRAMIDS. SO LONG AS TENNESSEE/SHALL REMAIN FREE, AND PERHAPS AFTER THE COLUMNS OF/THIS CAPITAOL HAVE CRUMBLED, WILL THE UNIVERSITY FOUNDED/BY HIM REMAIN AS EVIDENCE OF HIS WISDOM AND GREATNESS,/CARRYING HIS NAME TO DISTANT POSTERITY, WITH AS MUCH OF /HONOR AND IMMORTALITY AS IS AWARDED TO MAN.""/RECORDS OF TENNESSEE GENERAL ASSEMBLY./JAN.6.1877. (Another side of the pedestal:) ""IF VANDERBILT UNIVERSITY SHALL, THROUGH ITS INFLUENCE/CONTRIBUTE TO STRENGTHENING THE TIES WHICH SHOULD EXIST/BETWEEN ALL THE SECTIONS OF OUR COMMON COUNTRY, I SHALL/FEEL THAT IT HAS ACCOMPLISHED ONE OF THE OBJECTS THAT/LED ME TO TAKE AN INTEREST IN IT.""/C. VANDERBILT./DEC.2.1875. Founder's mark appears.","Standing male figure wearing a suit, including a knee length coat, vest and tie. The figure's proper left leg is slightly forward, proper right hand is at waist.
Portrait male -- Vanderbilt, cornelius -- Full length
Occupation -- Other -- Businessman",Vanderbilt University,"Surveyed 1992 October. Well maintained. On statue: evidence of guano, black crusts, corrosion on face and hands. Surface is coated.","Save Outdoor Sculpture, Tennessee survey, 1992.",TRUE,FALSE,TRUE,10/8/97,"Moretti, Giuseppe, 1857-1935, sculptor
Gorham Manufacturing Company, founder
IAS files contain a related article on Giuseppe Moretti from ""Alabama Heritage,"" (no date).",36.149103,-86.802856,FALSE,FALSE
145,Harold Stirling Vanderbilt,,Sculpture,Bronze,Bronze,Vanderbilt University,"Kiseleewski, Joseph",1965,,,,Godchaux School of Nursing,,,TRUE,FALSE,TRUE,10/8/97,Harold Stirling Vanderbilt was the great-grandson of Commodore Cornelius Vanderbilt. He was president of the Board of Trust from 1955-1968.,36.145855,-86.802024,FALSE,FALSE
147,(The Kiss),(Cubist Form).,Sculpture,Concrete,Concrete on stone and brick base.,Vanderbilt University - Godchaux School,"Mims, Puryear",,Sculpture: approx. 24-1/2x13-1/2x8-1/2in; Base: approx. 37x18x17in.,,"An abstract sculpture of two cubist forms joined together rests on a rectangular stone and brick base. In the center of the sculpture there is a small opening through which you can see.
Abstract
Allegory -- Passion",Godchaux School of Nursing,Surveyed 1992 Noember. Treatment needed. Evidence of organic growth and a granular or surgary surface on sculpture. Water collects in recessed areas.,"Save Outdoor Sculpture, Tennessee survey, 1992.",FALSE,FALSE,TRUE,10/8/97,"Mims, Puryear, 1906-1975, sculptor.",,,FALSE,TRUE
148,Three Mary's,,Sculpture,Marble,Marble on a brick base,Vanderbilt University - Godchaux School,"Mims, Puryear",,Sculpture: approx. H. 17-1/2in; Diam. 41 in; Base: approx. 36-1/2x18x17in.,Unsigned,"Three nude women in a circle embracing with heads bowed and knees bent. The figures are made up of simplified curvilinear shapes.
Figure group -- Female -- Nude
Religion -- New Testament -- Mary",Godchaux School of Nursing,Surveyed 1992 November. Treatment needed. Evidence of organizc growth and granular surface on sculpture. Water collects in recessed areas. Two black marks on front of sculpture.,"Save Outdoor Sculpture, Tennessee survey, 1992.
Holder, Philancy, ""Thomas Puryear Mims,"" Nashville: Tennessee Botanical Garens and Fine Arts Center, 1977.",FALSE,FALSE,TRUE,10/8/97,"Mims, Puryear, 1906-1975, sculptor",,,FALSE,TRUE
149,(Tall Cubist Form),,Sculpture,Concrete,Concrete on stone and brick base.,Vanderbilt University - Godchaux School,"Mims, Puryear",,Sculpture: approx. 26-1/2 x 12 x 10 in; Base: approx. 37-1/2x18x17in.,Unsigned,"An abstract sculpture consisting of cubist forms rests on a rectangular stone and brick base.
Abstract -- Geometric",Godchaux School of Nursing,"Surveyed 1992 November. Treatment needed. Evidence of guano, organic growth, and a granular surface on sculpture.","Save Outdoor Sculpture, Tennessee survey 1992.",FALSE,FALSE,TRUE,10/8/97,"Mims, Puryear, 1906-1975, sculptor.",,,FALSE,TRUE
150,Concrete Statue,,Sculpture,Concrete,White concrete on a concrete base,Vanderbilt University,Unknown,,Sculpture: 45-1/2x18-1/2x16in; Base: 35x20x17in.,,"A depictionof three standing nude female figures. The figures are simplified and are all interconnected to form a solid columnar shape. The sculpture rests on a rectangular base.
Figure group -- Female -- Nude
Mythology -- Classical -- Graces",Vanderbilt University,Surveyed 1992 October. Well maintained. Base plaque is missing.,"Save Outdoor Sculpture, Tennessee survey, 1992.
Holder, Philancy, ""Thomas Puryear Mims,"" Nashville: Tennessee Botanical Gardens and Fine Arts Center, 1977.",FALSE,FALSE,TRUE,10/8/97,"Mims, Puryear, 1906-1975, sculptor",36.146456,-86.803648,FALSE,FALSE
151,Eighteen Campus Types,,Sculpture,Bronze,Bronze on concrete base,Vanderbilt University,"Anthony, Lawrence",1974,Sculpture:  60in x 66in;  Base: 19-1/2inx40 in.,LAnthony-1974 signed,Eighteen caricatures of individuals rushing in a crowd. The individuals wear assorted clothing and hats and carry various bags and cases. They have very long legs in proportion to their bodies. They all face different directions and appear to be in mid-stride.,Vanderbilt University,,,FALSE,FALSE,TRUE,10/8/97,,36.146761,-86.80348,FALSE,FALSE
152,Anticipation (woman on bench),,Sculpture,Bronze,Cold cast bronze,Tennessee Performing Arts Center,"Faxon, Russell",1983,Life size,,A statue of a woman with legs crossed sitting on a bench and leaning forward.,Tennessee Performing Arts Center,,,FALSE,TRUE,FALSE,10/8/97,In the main lobby,36.164890,-86.781838,FALSE,FALSE
153,The Actors,,Sculpture,Wood,Wood,Tennessee Performing Arts Center,"Bryant, Olen",,,,"Two faces, one large and one small, carved from a wooden block",Tennessee Performing Arts Center,,,FALSE,TRUE,FALSE,10/8/97,In Polk Theater lobby,36.164853,-86.781824,FALSE,FALSE
155,Summer Play,,Sculpture,Unknown,,Cheekwood Botanical Garden and Museum of Art,"Hunter, Sherri Warner",,,,,Cheekwood Botanical Garden and Museum of Art,,,FALSE,FALSE,TRUE,10/8/97,in lobby,,,FALSE,FALSE
157,The Jubilee Singers,,Painting,Paint,,Fisk University,"Havel, Edmund",1873,,,,Fisk University,,,TRUE,FALSE,TRUE,10/8/97,,,,FALSE,FALSE
158,Raccoons and the Magic Horseshoes,,Sculpture,Bronze,Bronze mounted on grass,Belle Meade Boulevard,"Schon, Nancy",1995,,,A family of racoons wandering through the median between two horseshoes created out of stones.,City of Belle Meade,,http://www.schon.com/public/6racoons.php,FALSE,TRUE,TRUE,10/8/97,Schon speaks of the legend of the family of raccoons who live in the magic horseshoes left by a gigantic horse. The full story can be found on her website (http://www.schon.com/public/6racoons.php),36.148755,-86.813421,FALSE,FALSE
159,Tennessee WWII Memorial,,Monument,Granite,Granite globe floating on 1/8 inch of water,Tennessee Bicentennial Mall,Unknown,1997,,,Memorial commemorates Tennessee soldiers serving in WWII. The globe has countries as they were in 1945. Granite columns around the globe portray the historic events during WWII. A bench nearby lists the seven Congressional Medal of Honor recepients from Tennessee.,"Metro Gov. of Nashville & Davidson Co, Parks & Rec",,http://www.tn.gov/environment/parks/Bicentennial/historical/index.shtml,TRUE,TRUE,TRUE,10/8/97,,36.172015,-86.788636,FALSE,FALSE
